n,t_us,dec,bin,hex,volts
0,566,1861,011101000101,0x745,1.499707
1,1773,1236,010011010100,0x4D4,0.996044
2,2523,902,001110000110,0x386,0.726886
3,3250,648,001010001000,0x288,0.522198
4,4009,456,000111001000,0x1C8,0.367473
5,5013,362,000101101010,0x16A,0.291722
6,6014,435,000110110011,0x1B3,0.350549
7,7009,680,001010101000,0x2A8,0.547985
8,8009,1066,010000101010,0x42A,0.859048
9,9011,1563,011000011011,0x61B,1.259560
10,10011,2106,100000111010,0x83A,1.697143
11,11013,2682,101001111010,0xA7A,2.161319
12,12009,3200,110010000000,0xC80,2.578755
13,15445,3944,111101101000,0xF68,3.178315
14,16436,3784,111011001000,0xEC8,3.049377
15,17179,3566,110111101110,0xDEE,2.873700
16,17906,3282,110011010010,0xCD2,2.644835
17,18616,2947,101110000011,0xB83,2.374872
18,19335,2568,101000001000,0xA08,2.069450
19,20054,2167,100001110111,0x877,1.746300
20,20759,1768,011011101000,0x6E8,1.424762
21,21488,1379,010101100011,0x563,1.111282
22,22196,1046,010000010110,0x416,0.842930
23,23007,722,001011010010,0x2D2,0.581831
24,24014,457,000111001001,0x1C9,0.368278
25,27222,761,001011111001,0x2F9,0.613260
26,28205,1161,010010001001,0x489,0.935604
27,28955,1533,010111111101,0x5FD,1.235385
28,29703,1946,011110011010,0x79A,1.568205
29,30427,2352,100100110000,0x930,1.895385
30,31142,2742,101010110110,0xAB6,2.209670
31,31846,3103,110000011111,0xC1F,2.500586
32,32562,3422,110101011110,0xD5E,2.757656
33,33277,3669,111001010101,0xE55,2.956703
34,34012,3847,111100000111,0xF07,3.100147
35,35010,3945,111101101001,0xF69,3.179121
36,36007,3873,111100100001,0xF21,3.121099
37,37010,3619,111000100011,0xE23,2.916410
38,38008,3232,110010100000,0xCA0,2.604542
39,39012,2746,101010111010,0xABA,2.212894
